,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LWristYaw,HipRoll,HipPitch,KneePitch,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll,RWristYaw,Speed,delay,LeftHand,RightHand,X-movement,Y-movement,Angle,sentence,rotate
29,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,0.4,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,,0
30,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,0.4,-59.5,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,,0
31,0.0,-11.4,-64.0,8.6,-71.8,-28.9,0.0,0.4,0.7,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
32,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,Let us do the same. but with the other hand!,0
33,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,-29.5,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
34,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,29.5,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
35,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,-29.5,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
36,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,29.5,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,5.0,0,0,,,,,0
37,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.4,-2.3,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
38,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.4,-59.5,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
39,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.4,0.0,-0.6,-64.0,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
40,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,3.0,0,0,,,,Are you ready for the next one?,1
41,0.0,-11.4,-65.4,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
42,0.0,-11.4,-65.4,89.5,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-89.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
41,0.0,-11.4,-65.4,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
42,0.0,-11.4,-65.4,89.5,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-89.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
41,0.0,-11.4,-65.4,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
42,0.0,-11.4,-65.4,89.5,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-89.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
41,0.0,-11.4,-65.4,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,-65.4,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,,0
40,0.0,-11.4,90.5,8.6,-71.8,-28.9,0.0,0.0,-2.3,-0.6,90.2,-8.5,71.4,28.9,0.0,0.1,4.0,0,0,,,,Thank you for today! I had so much fun! I hope all you cool people. want to work out. with me again!,0
